ID_Estudiante;Ciclo;Subnivel;Orden_Subnivel;Estado_Evaluacion;Evaluado_Flag;AMIE;Institucion;Region;Provincia;Canton;Distrito;Financiamiento;Sostenimiento;Sexo;Area;Puntaje_Global;Factor_Global;Global_x_Factor;Puntaje_Matematica;Factor_Matematica;Matematica_x_Factor;Nivel_Matematica;Orden_Nivel_Matematica;Puntaje_Lengua;Factor_Lengua;Lengua_x_Factor;Nivel_Lengua;Orden_Nivel_Lengua
C0QY601735;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Mujer;Urbana;690;83,737924;57779,16756;678;83,737924;56774,31247;Elemental;2;681;83,737924;57025,52624;Elemental;2
OJVT582282;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Mujer;Urbana;740;83,737924;61966,06376;735;83,737924;61547,37414;Satisfactorio;3;762;83,737924;63808,29809;Satisfactorio;3
S7EC586539;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Mujer;Urbana;723;83,737924;60542,51905;711;83,737924;59537,66396;Satisfactorio;3;712;83,737924;59621,40189;Satisfactorio;3
F05Q581685;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Hombre;Urbana;691;83,737924;57862,90548;696;83,737924;58281,5951;Elemental;2;696;83,737924;58281,5951;Elemental;2
C945606942;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Mujer;Urbana;710;83,737924;59453,92604;711;83,737924;59537,66396;Satisfactorio;3;696;83,737924;58281,5951;Elemental;2
9AYD605942;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Hombre;Urbana;730;83,737924;61128,68452;728;83,737924;60961,20867;Satisfactorio;3;762;83,737924;63808,29809;Satisfactorio;3
9U91582710;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Hombre;Urbana;712;83,737924;59621,40189;735;83,737924;61547,37414;Satisfactorio;3;696;83,737924;58281,5951;Elemental;2
9AM8603487;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Mujer;Urbana;686;83,737924;57444,21586;705;83,737924;59035,23642;Satisfactorio;3;681;83,737924;57025,52624;Elemental;2
IDHL605919;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Hombre;Urbana;717;83,737924;60040,09151;700;83,737924;58616,5468;Satisfactorio;3;745;83,737924;62384,75338;Satisfactorio;3
BEQ6583396;2024-2025;Básica Superior;3;Evaluado;1;01H00003;ESCUELA DE EDUCACION BASICA RAFAEL AGUILAR PESANTEZ;Sierra;AZUAY;CUENCA;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÑARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;Público (Fiscal y Municipal);Fiscal;Mujer;Urbana;715;83,737924;59872,61566;711;83,737924;59537,66396;Satisfactorio;3;728;83,737924;60961,20867;Satisfactorio;3
