ciclo;grado;estado_eval;codigo;amie;nm_regi;es_regeva;id_zona;id_dist;id_prov;id_cant;id_parr;financiamiento;sostenimiento;tp_sexo;na_eano;tp_area;etnibee;fex_inev;inev;fex_imat;imat;fex_ilyl;ilyl;fex_icn;icn;fex_ifis;ifis;fex_iqui;iqui;fex_ibio;ibio;fex_ies;ies;fex_ihis;ihis;fex_ifil;ifil;fex_ied;ied;nl_imat;nl_ilyl;nl_icn;nl_ifis;nl_iqui;nl_ibio;nl_ies;nl_ihis;nl_ifil;nl_ied;ind_1;ind_2;ind_3;ind_4;ind_5;ind_6;ind_7;ind_8;ind_9;lc_1;lc_2;lc_3;lc_4;lc_5;lc_6;lc_7;lc_8;lc_9;lc_10;lc_11;lc_12;fex_rubrica;estado_rub;fex_lista_cotejo;estado_lc;fex_honestidad_academica
2024-2025;10;2;C0QY601735;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2010;2;;83,737924;690;83,737924;678;83,737924;681;83,737924;694;;;;;;;83,737924;706;;;;;;;1;1;1;;;;2;;;;2;2;1;2;2;2;1;1;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;OJVT582282;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2010;2;;83,737924;740;83,737924;735;83,737924;762;83,737924;774;;;;;;;83,737924;692;;;;;;;2;2;2;;;;1;;;;2;2;1;2;2;2;1;2;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;S7EC586539;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2007;2;;83,737924;723;83,737924;711;83,737924;712;83,737924;765;;;;;;;83,737924;706;;;;;;;2;2;2;;;;2;;;;2;2;1;2;2;2;1;1;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;F05Q581685;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2009;2;;83,737924;691;83,737924;696;83,737924;696;83,737924;680;;;;;;;83,737924;692;;;;;;;1;1;1;;;;1;;;;2;1;1;2;2;2;1;0;2;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;C945606942;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2010;2;;83,737924;710;83,737924;711;83,737924;696;83,737924;740;;;;;;;83,737924;692;;;;;;;2;1;2;;;;1;;;;2;2;1;2;2;2;2;1;2;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;9AYD605942;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2009;2;;83,737924;730;83,737924;728;83,737924;762;83,737924;732;;;;;;;83,737924;699;;;;;;;2;2;2;;;;1;;;;2;2;1;2;2;2;1;2;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;9U91582710;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2010;2;;83,737924;712;83,737924;735;83,737924;696;83,737924;709;;;;;;;83,737924;706;;;;;;;2;1;2;;;;2;;;;2;2;1;2;2;2;1;0;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;9AM8603487;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2011;2;;83,737924;686;83,737924;705;83,737924;681;83,737924;673;;;;;;;83,737924;684;;;;;;;2;1;1;;;;1;;;;2;2;1;2;2;2;1;1;2;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;IDHL605919;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2010;2;;83,737924;717;83,737924;700;83,737924;745;83,737924;718;;;;;;;83,737924;706;;;;;;;2;2;2;;;;2;;;;2;2;1;2;2;2;2;2;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;BEQ6583396;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2010;2;;83,737924;715;83,737924;711;83,737924;728;83,737924;709;;;;;;;83,737924;713;;;;;;;2;2;2;;;;2;;;;97;97;97;97;97;97;97;97;97;;;;;;;;;;;;;;1;;3;
2024-2025;10;2;5G4U604439;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2010;2;;83,737924;718;83,737924;700;83,737924;728;83,737924;751;;;;;;;83,737924;692;;;;;;;2;2;2;;;;1;;;;1;2;1;2;2;2;0;0;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;JGUP585282;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2009;2;;83,737924;700;83,737924;711;83,737924;696;83,737924;694;;;;;;;83,737924;699;;;;;;;2;1;1;;;;1;;;;2;1;1;2;2;2;0;2;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;RYBC584416;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2010;2;;83,737924;697;83,737924;696;83,737924;681;83,737924;718;;;;;;;83,737924;692;;;;;;;1;1;2;;;;1;;;;1;1;1;2;0;2;1;0;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;9V13583422;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2009;2;;83,737924;668;83,737924;691;83,737924;652;83,737924;659;;;;;;;83,737924;670;;;;;;;1;1;1;;;;1;;;;2;2;1;1;2;2;0;1;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;455K606349;01H00003;2;2;6;01D01;1;101;10101;1;4;2;2010;2;;83,737924;723;83,737924;728;83,737924;712;83,737924;732;;;;;;;83,737924;721;;;;;;;2;2;2;;;;2;;;;2;2;1;2;2;2;0;2;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
2024-2025;10;2;EQDF591933;01H00003;2;2;6;01D01;1;101;10101;1;4;1;2010;2;;83,737924;727;83,737924;722;83,737924;728;83,737924;751;;;;;;;83,737924;706;;;;;;;2;2;2;;;;2;;;;2;2;1;2;2;2;1;1;1;;;;;;;;;;;;;86,27543659;2;;3;86,27543659
