Column1.period;Column1.ideac_index;Column1.unemployment_rate;Column1.underemployment_rate
2016-01;109.11;5.78;14.55
2016-01;108.5;6.65;21.13
2016-01;107.33;4;19.24
2016-01;106.55;4.73;22.36
2016-01;99.59;4.12;16.31
2016-01;103.14;5.08;18.71
2016-01;101.7;6.27;20.18
08/01/2016;105.12;5.77;14.58
2016-01;99.8;5.64;16.88
2016-01;101.09;5.12;15.02
2016-01;108.53;6.54;21.13
2016-01;106.1;3.95;18.09
2016-01;99.5;3.99;15.59
14/01/2016;108.03;5.05;22.99
2016-01;104.15;4.08;20.31
2016-01;111.97;5.1;19.51
2016-01;108.83;6.38;14.82
2016-01;102.24;5.74;19.99
2016-01;109.31;4.91;21.02
2016-01;100.98;5.68;17.82
2016-01;104.91;6.41;19.91
2016-01;102.43;3.49;14.57
2016-01;103.78;3.33;16.89
2016-01;106.02;3.74;21.75
2016-01;107.92;3.23;19.71
2016-01;96.63;3.55;15.67
2016-01;108.54;3.72;20.06
2016-01;109.81;4.19;16.26
2016-01;109.08;4.1;16.42
2016-01;110.92;4.27;22.27
   2016-01   ;104.15;NA;16.25
2016-02;106.97;3.6;16.85
2016-02;107.3;NA;19.18
2016-02;101.12;NA;17.45
2016-02;97.06;6.15;21.02
2016-02;105.8;5.97;20.32
2016-02;94.12;3.5;20.32
2016-02;101.86;5.87;19.45
08/02/2016;100.75;4.79;16.47
2016-02;105.31;4.85;22.34
2016-02;110.71;4.63;16.16
11/02/2016;110.71;6.57;22.66
2016-02;107.82;4.91;15.7
2016-02;106.32;4.41;15.69
2016-02;100.6;6.33;22.29
2016-02;105.14;4.51;14.86
   2016-02   ;100.49;5.6;17.69
2016-02;100.7;5.58;15.72
2016-02;106.88;5.06;16.06
2016-02;104.84;6.25;20.89
   2016-02   ;106.99;4.84;20.98
2016-02;105.28;6.17;16.18
   2016-02   ;103.47;6.64;20.6
23/02/2016;100.3;5.66;21.68
2016-02;111.21;4.65;17.94
2016-02;110;3.25;20.19
2016-02;104.1;5.02;19.61
2016-02;106.58;4.2;21.82
   2016-02   ;107.21;4.28;14.77
2016-02;111.95;4.29;22.24
2016-03;105.75;NA;15.07
02/03/2016;105.56;4.4;22.58
2016-03;109.42;3.83;22.11
2016-03;110.45;5.49;21.64
2016-03;109.33;3.99;15.42
2016-03;108.76;5.02;20.11
2016-03;107.82;6.51;15.87
2016-03;103.86;4.47;18.68
2016-03;106.44;5.82;19.91
2016-03;103.76;3.45;21.18
11/03/2016;98.31;NA;20.68
2016-03;108.56;4.11;19.85
2016-03;103.26;6.36;22.85
14/03/2016;101.38;5.29;18.54
2016-03;107.51;5.1;21.21
2016-03;103.91;3.56;22.7
2016-03;94.82;5.12;14.7
2016-03;102.84;3.24;18.24
2016-03;96.36;3.78;20.81
20/03/2016;106.77;3.7;19.41
2016-03;100.02;3.45;18.96
   2016-03   ;107.37;4.2;19.89
23/03/2016;104.16;5.19;21.65
   2016-03   ;110.08;6.63;15.19
2016-03;99.72;3.28;19.72
   2016-03   ;103.82;3.78;21.69
2016-03;100.59;3.26;16.03
   2016-03   ;111.83;4.47;21
