fecha;exportaciones_petroleras_musd_fob;exportaciones_no_petroleras_musd_fob;importaciones_musd_fob;remesas_musd
2016-01;870.96;941.36;1200.48;331.26
2016-01;744.94;1250.71;1266.36;385.39
2016-01;735.78;1272.33;1519.62;206.23
2016-01;884.01;1430.07;900.81;212.32
2016-01;598.69;900.08;1374.39;245.91
2016-01;508.82;1376.46;1801.8;261.47
2016-01;547.66;877.36;NA;219.01
2016-01;520.55;831.72;1842.42;452.17
2016-01;723.51;1289.26;1815.55;417.95
2016-01;666.85;1395.97;1146.25;274.82
2016-01;917.7;1431.43;1550;222.39
2016-01;472.69;1026.9;1173.17;200.94
2016-01;783.45;938.28;1833.06;325.28
2016-01;685.16;936.17;1103.3;430.04
2016-01;778.61;1346.91;1882.65;230.63
2016-01;796.09;1109.34;1710.4;413.51
2016-01;527;899.06;NA;457
2016-01;757.52;1497.69;1551.33;233.95
2016-01;675.8;822.38;1142.08;289.45
2016-01;713.38;758.69;1019.38;246.93
2016-01;618.1;1287.28;1902.01;327.4
2016-01;811.66;1143.46;1647.1;422.96
2016-01;654.16;1489.95;1860.49;258.58
2016-01;404.81;1379.67;1542.12;374.36
2016-01;744.13;1459.15;1186.31;362.6
2016-01;641.32;1077.37;1366.29;449.05
2016-01;479.76;1285.4;1358.11;446.72
2016-01;771.22;923.57;1458.73;283.03
2016-01;673.07;1057;1837.92;288.12
2016-01;556.56;1076.18;941.6;251.92
2016-01;903.58;1304.65;1676.83;367.19
2016-02;656.28;1318.86;1098.78;380.05
2016-02;652.44;1084.93;1040.24;473.42
2016-02;648.31;1374.22;1681.83;414.64
2016-02;568.35;836.44;915.23;410.74
2016-02;409.25;1016.14;1386;353.14
2016-02;670.38;879.08;1465.23;424.67
2016-02;728.38;1079.58;1174.04;387.01
2016-02;595.18;1322.5;1529.46;295.13
2016-02;870.08;797.87;1562.87;399.32
2016-02;425.47;775.81;1170.52;394.48
2016-02;911.12;814.1;1121.03;450.04
2016-02;652.29;1233.62;922.63;244.99
2016-02;535.11;954.71;1398.72;444.83
2016-02;681.84;1297.93;1522.38;434.63
2016-02;745.16;764.25;1830.77;261.71
2016-02;572.9;992.3;1723.13;436.16
2016-02;564.53;874.28;1169.97;457.3
2016-02;687.12;1481.2;1404.72;238.62
2016-02;430.24;1471.13;924.42;340.26
2016-02;351.87;1286.06;1519.17;413.16
2016-02;678.56;1403.01;1834.7;439.38
2016-02;775.07;1270.91;1615.97;278.22
2016-02;536.55;781.35;1395.39;464.51
2016-02;445.44;976.8;1759.3;415.99
2016-02;775.72;1321.95;1564.27;438.58
2016-02;693.88;960.47;1423.14;378.12
2016-02;882.82;1302.95;1618.94;296.14
2016-02;924.89;1195.62;1850.09;380.67
2016-02;581.99;869.08;1612.85;466.16
2016-03;550.32;1223.92;1225.14;426.2
2016-03;831.06;1155.99;NA;414.06
2016-03;781.76;805.61;1763.31;392.15
2016-03;615.29;1122.83;1944.13;223.34
2016-03;444.14;1244.24;1140.05;426.76
2016-03;562.61;1244.87;1702.68;206.99
2016-03;884.64;1370.83;1031.1;467.93
2016-03;869.66;1048.81;1741.95;238.27
2016-03;922.84;1152.68;1370.45;378.89
2016-03;639.09;1074.24;1201.25;259.2
2016-03;717.8;1493.95;1174.7;323.85
2016-03;509.12;1089.91;1564.9;282.03
2016-03;401.32;1348.95;1057.81;249.13
2016-03;604.05;825.54;1302.89;348.21
2016-03;485.73;774.14;1499;308.35
2016-03;907.82;773.52;1578.49;391.93
2016-03;812.41;1326.88;NA;457.79
2016-03;682.72;844.8;1133.75;309.84
2016-03;667;895.08;1308.01;218.4
2016-03;672.13;949.12;908.57;398.62
2016-03;923.51;1171.99;1370.45;265.33
2016-03;914.1;1161.98;1937.97;292.48
2016-03;621.68;1450.95;1301.79;203.45
2016-03;432.21;1050.64;1361.45;201.56
2016-03;782.38;1002.47;1575.5;344.12
2016-03;621.3;782.96;1223.66;200.75
2016-03;359.99;905.53;1383.95;417.79
2016-03;397.39;1481.4;1220.3;262.27
2016-03;900.19;1360.68;1502.03;237.02
2016-03;593.53;994.78;1656.3;265.7
2016-03;693.44;1232.27;977.77;368.7
2016-04;893.91;1163.61;1742.02;444.24
2016-04;816.52;1080.27;927.29;247.37
2016-04;423.23;1086.03;1906.47;466.67
2016-04;437.44;1180.28;1106.34;301.08
2016-04;450.72;941.73;1344.64;200.78
2016-04;780.96;843.23;1506.05;275.71
2016-04;875.57;981.35;1576.62;202.01
2016-04;929.34;932.57;1613.16;242.22
2016-04;940.67;1115.21;1621.82;359.29
2016-04;677.45;1432.49;1841.75;263.69
2016-04;706.38;1005.71;1823.49;234.38
2016-04;924.49;1464.46;914.15;451.11
2016-04;551.06;1312.13;1072.2;373.22
2016-04;740.57;1346.82;1644.07;454.88
2016-04;544.58;1076.56;1427.31;294.59
2016-04;770.36;789.9;1443.61;345.35
2016-04;415.84;1426.29;1816.88;265.21
2016-04;917;1330.29;1597.51;247.18
2016-04;458.62;1426.78;1761.52;333.64
2016-04;767.59;784.67;1175.52;362.74
2016-04;840.31;1475.68;1664.8;443.59
2016-04;844.11;1293.48;1727.19;383.6
2016-04;738.53;1482.08;1335.47;455.8
2016-04;570.81;830.74;1885.12;282.05
2016-04;882.99;1119.42;1053.76;380.95
2016-04;939.47;1416.31;1418.43;378.72
2016-04;688.2;1125.43;1687.14;212.79
2016-04;886.28;838.63;1941.46;447.34
2016-04;849.63;1264.44;1775.59;221.41
2016-04;580.03;1376.49;1812.27;457.67
2016-05;782.4;1121.98;1261.23;427.04
2016-05;919.69;902.89;1809.63;436.81
2016-05;756.22;1245.52;1820.88;337.6
2016-05;400.98;1461.5;1093.85;235.25
2016-05;475.7;904.76;1094.53;425.01
2016-05;497.37;910.72;1088.92;434.49
2016-05;837.91;1343.55;1751.43;382.43
2016-05;666.97;1462.51;1599.43;225.95
2016-05;658.59;1246.51;1366.44;448.77
2016-05;517.28;1043.85;1764.84;356.74
2016-05;437.17;1018.76;1293.95;427.68
2016-05;418.92;964.91;1457.11;206.21
2016-05;850.37;1415.54;NA;476.67
2016-05;446.87;1292.31;1530.02;451.24
2016-05;636.6;1242.01;1391.72;357.23
2016-05;356.77;835.55;1178.76;200.34
2016-05;869.49;1246.3;1680.64;265.38
2016-05;606.87;1255.86;1428.62;322.48
2016-05;867.64;1240.67;1706.42;409.66
2016-05;539.59;995.42;1868.66;375.12
2016-05;818.46;1240.34;1805.83;314.53
2016-05;646.27;935.35;1947.24;336.69
2016-05;854.08;1462.68;1206.33;328.44
2016-05;477.15;773.45;1180.85;275.48
2016-05;426.44;1175.14;1494.75;246.33
2016-05;741.89;1499.93;904.09;239.82
2016-05;899.63;814.43;1523.12;238.71
2016-05;766.36;978.24;1699.91;358.02
2016-05;588.96;898.92;1705.34;203.96
2016-05;638.14;1398.92;1015.77;460.06
2016-05;739.7;780.95;1092.74;336.98
2016-06;826.27;1247.29;1119.92;222.32
2016-06;598.67;1437.5;1195.55;231.67
2016-06;675.75;1138.29;1558.61;424.3
2016-06;614.23;1074.21;1471.73;337.8
2016-06;856.56;1008.69;1589.34;449.83
2016-06;409.96;1486.07;1606.79;428.7
2016-06;872.01;1467.74;1517.75;266.9
2016-06;714.09;1176;1810.97;300.82
2016-06;845.68;976.01;1942.13;272.68
2016-06;717.68;1431.74;1562.44;423.57
2016-06;737.83;1130.49;1579.82;365.78
2016-06;384.12;803.25;1742.66;200.08
2016-06;503.82;1230.16;1855.59;328.35
2016-06;788.76;1141.18;1603.08;448.35
2016-06;577.24;884.66;1669.72;285.94
2016-06;822.81;785.41;1246.55;392.26
2016-06;787.62;827.79;1417.41;249.72
2016-06;939.96;768.75;1422.81;374.83
2016-06;509.34;807.37;1914.22;381.06
2016-06;610.01;1156.47;1877.37;307.77
2016-06;662.48;1097.9;1150.26;313.96
2016-06;742.63;1444.23;1347.41;314.36
2016-06;473.72;1382.28;1049.5;238.71
2016-06;644.09;1494.73;993.16;282.27
2016-06;939.94;979.02;1901.06;382.19
2016-06;904.12;1177.04;1441.08;230.68
