id_transaccion;fecha_venta;id_provincia;id_sector;monto_ventas_musd
TX-100001;2039-02;4;S01;41.16
TX-100002;2042-04;3;S04;109.87
TX-100003;2034-07;2;S03;105.17
TX-100004;2041-05;8;S01;78.81
TX-100005;2030-08;4;S04;69.84
TX-100006;2021-11;3;S05;149.31
TX-100007;2026-06;8;S02;138.23
TX-100008;2017-10;8;S05;69.54
TX-100009;2038-04;2;S03;44.32
TX-100010;2039-01;6;S03;133.27
TX-100011;2031-03;1;S03;31.77
TX-100012;2034-06;4;S05;31.83
TX-100013;2026-05;1;S03;119.58
TX-100014;2016-03;5;S02;113.47
TX-100015;2018-10;4;S01;97.52
TX-100016;2026-04;5;S01;138.02
TX-100017;2016-03;8;S02;101.68
TX-100018;2039-06;4;S01;80.06
TX-100019;2027-05;4;S05;70.61
TX-100020;2020-06;7;S05;79.04
TX-100021;2021-10;4;S03;83.62
TX-100022;2018-04;5;S01;111.57
TX-100023;2024-07;5;S05;114.19
TX-100024;2022-11;2;S01;91.01
TX-100025;2019-04;6;S04;106.85
TX-100026;2036-10;5;S04;115.66
TX-100027;2035-11;5;S03;30.77
TX-100028;2018-10;8;S03;62.37
TX-100029;2017-12;3;S05;36.78
TX-100030;2020-05;8;S04;114.83
TX-100031;2018-05;2;S03;54.52
TX-100032;2020-02;4;S03;20.22
TX-100033;2029-11;8;S04;68.64
TX-100034;2025-02;1;S02;113.66
TX-100035;2025-03;7;S05;89.09
TX-100036;2017-05;5;S02;67.5
TX-100037;2041-05;2;S03;86.97
TX-100038;2028-08;4;S01;41.23
TX-100039;2042-03;7;S04;42.15
TX-100040;2042-01;6;S02;18.93
TX-100041;2039-10;1;S05;117.23
TX-100042;2037-04;7;S03;95.62
TX-100043;2021-01;7;S05;131.57
TX-100044;2029-05;5;S02;75.69
TX-100045;2028-02;5;S03;7.36
TX-100046;2019-09;4;S02;59.27
TX-100047;2027-01;4;S05;18.49
TX-100048;2022-08;4;S02;74.23
TX-100049;2020-02;2;S01;71.65
TX-100050;2029-08;4;S02;26.01
TX-100051;2020-09;8;S02;106.3
TX-100052;2035-06;7;S05;42.8
TX-100053;2028-05;4;S04;94.47
TX-100054;2024-12;4;S02;130.8
TX-100055;2020-08;5;S03;81.96
TX-100056;2025-12;6;S03;111.71
TX-100057;2018-01;6;S03;72.66
TX-100058;2032-11;8;S04;81.91
